PO_Number,PO_Date,SKU,Product_Name,Supplier_ID,Warehouse_ID,Quantity_Ordered,Unit_Cost,Required_Date,Actual_Delivery_Date,PO_Status
PO-900147,2025-04-28,SKU-1040,Air Filter Cartridge,SUP-01,WH-MDN,1761.0,115.38,2025-05-05,2025-05-06,Received
PO-900020,2025-02-21,SKU-1004,Copper Wire Roll,SUP-06,WH-SMG,1419.0,26.9,2025-03-07,2025-03-07,Received
PO-900217,2025-03-16,SKU-1012,Shrink Wrap Film,SUP-08,WH-SBY,1068.0,99.81,2025-04-06,2025-04-14,Received
PO-900036,2025-12-06,SKU-1021,Led Desk Lamp,SUP-09,WH-MDN,404.0,309.85,2025-12-27,2026-01-05,Received
PO-900177,2025-10-09,SKU-1020,Office Chair Ergonomic,SUP-04,WH-MKS,1527.0,37.3,2025-10-16,2025-10-22,Received
PO-900097,2025-11-19,SKU-1040,Air Filter Cartridge,SUP-01,WH-SBY,1871.0,115.38,2025-11-26,2025-12-02,Received
PO-900005,2025-06-25,SKU-1008,Silicone Sealant Bulk,SUP-06,WH-MDN,835.0,89.78,2025-08-09,2025-08-17,Received
PO-900105,2025-02-07,SKU-1042,Hydraulic Oil Iso 46,SUP-03,WH-SMG,2000.0,110.39,2025-02-21,2025-02-25,Received
PO-900001,2025-01-03,SKU-1041,Cutting Tool Insert,SUP-05,WH-SBY,563.0,34.42,2025-01-10,,In Transit
PO-900157,2025-04-28,SKU-1004,Copper Wire Roll,SUP-06,WH-MDN,889.0,26.9,2025-05-12,2025-05-10,Received
PO-900163,2025-12-24,SKU-1002,Pvc Resin,SUP-09,WH-MKS,978.0,50.91,2026-01-23,2026-01-22,Delayed
PO-900060,2025-08-03,SKU-1023,Bluetooth Speaker Mini,SUP-05,WH-MKS,1975.0,168.61,2025-08-17,2025-08-24,Received
PO-900166,2025-04-30,SKU-1028,Ball Bearing 6205,SUP-01,WH-JKT,680.0,101.55,2025-05-07,,In Transit
PO-900125,2025-09-07,SKU-1018,Strapping Band Pp,SUP-10,WH-MKS,322.0,50.93,2025-09-17,2025-09-15,Received
PO-900021,2025-05-16,SKU-1017,Label Roll Thermal,SUP-09,WH-MDN,202.0,190.85,2025-05-23,2025-05-23,Received
PO-900090,2025-01-05,SKU-1039,Safety Gloves Nitrile,SUP-04,WH-JKT,1469.0,67.51,2025-02-19,2025-02-20,Received
PO-900232,2025-01-12,SKU-1011,Corrugated Box Large,SUP-07,WH-SBY,1590.0,68.03,2025-02-11,2025-02-10,Received
PO-900109,2025-06-01,SKU-1032,Motor Bracket Assembly,SUP-04,WH-SBY,710.0,216.37,2025-06-11,,In Transit
PO-900042,2025-03-02,SKU-1019,Cordless Drill 18V,SUP-01,WH-MDN,1626.0,245.59,2025-03-09,2025-03-15,Received
PO-900038,2025-09-11,SKU-1028,Ball Bearing 6205,SUP-01,WH-SBY,253.0,101.55,2025-09-18,2025-09-26,Received
PO-900028,2025-03-09,SKU-1007,Rubber Compound,SUP-04,WH-JKT,1829.0,216.82,2025-03-30,2025-03-30,Received
PO-900091,2025-11-11,SKU-1039,Safety Gloves Nitrile,SUP-04,WH-MKS,599.0,67.51,2025-12-26,2025-12-22,Received
PO-900277,2025-04-08,SKU-1029,Hydraulic Pump Seal,SUP-08,WH-MKS,482.0,36.34,2025-04-29,2025-05-03,Received
PO-900223,2025-06-26,SKU-1015,Poly Mailer Bag,SUP-01,WH-JKT,943.0,170.55,2025-07-26,2025-07-23,Received
PO-900030,2025-07-03,SKU-1023,Bluetooth Speaker Mini,SUP-05,WH-MKS,159.0,168.61,2025-07-17,2025-07-17,Received
PO-900071,2025-03-24,SKU-1016,Foam Insert Sheet,SUP-02,WH-SMG,1499.0,74.43,2025-03-31,2025-03-31,Received
PO-900263,2025-02-18,SKU-1044,Conveyor Belt Roller,SUP-06,WH-MKS,1463.0,52.09,2025-03-04,2025-03-03,Received
PO-900255,2025-01-12,SKU-1032,Motor Bracket Assembly,SUP-04,WH-SBY,309.0,216.37,2025-01-22,2025-01-22,Received
PO-900190,2025-08-21,SKU-1012,Shrink Wrap Film,SUP-08,WH-MDN,1277.0,99.81,2025-09-11,2025-09-07,Received
PO-900139,2025-11-29,SKU-1002,Pvc Resin,SUP-09,WH-SMG,311.0,50.91,2025-12-29,2026-01-05,Delayed
PO-900111,2025-03-05,SKU-1009,Timber Plank Oak,SUP-09,WH-JKT,110.0,182.69,2025-03-26,2025-03-31,Received
PO-900188,2025-10-09,SKU-1005,Polyethylene Pellets,SUP-01,WH-SMG,1587.0,182.84,2025-10-30,2025-11-08,Received
PO-900189,2025-06-28,SKU-1035,Led Driver 12V,SUP-06,WH-SMG,1770.0,15.71,2025-07-28,2025-07-28,Received
PO-900244,2025-01-06,SKU-1018,Strapping Band Pp,SUP-10,WH-JKT,1171.0,50.93,2025-01-16,2025-01-25,Received
PO-900216,2025-05-19,SKU-1006,Stainless Steel Rod,SUP-10,WH-SBY,1237.0,49.28,2025-07-03,,In Transit
PO-900171,2025-10-17,SKU-1025,Air Purifier Hepa,SUP-02,WH-SMG,1353.0,212.95,2025-11-07,,Cancelled
PO-900226,2025-08-17,SKU-1029,Hydraulic Pump Seal,SUP-08,WH-JKT,880.0,36.34,2025-09-07,2025-09-12,Received
PO-900182,2025-03-31,SKU-1003,Cotton Yarn,SUP-01,WH-MDN,999.0,190.06,2025-04-21,2025-04-17,Received
PO-900044,2025-11-06,SKU-1005,Polyethylene Pellets,SUP-01,WH-MKS,1405.0,182.84,2025-11-27,,In Transit
PO-900273,2025-10-02,SKU-1042,Hydraulic Oil Iso 46,SUP-03,WH-JKT,357.0,110.39,2025-10-16,2025-10-19,Received
PO-900127,2025-11-17,SKU-1043,Machine Coolant 5L,SUP-05,WH-JKT,1589.0,30.18,2025-12-17,,In Transit
PO-900047,2025-12-03,SKU-1028,Ball Bearing 6205,SUP-01,WH-SMG,1566.0,101.55,2025-12-10,2025-12-13,Received
PO-900089,2025-09-29,SKU-1037,Timing Belt 120T,SUP-07,WH-MDN,1249.0,31.29,2025-10-09,2025-10-18,Received
PO-900136,2025-01-21,SKU-1021,Led Desk Lamp,SUP-09,WH-SBY,1659.0,309.85,2025-02-11,2025-02-11,Received
PO-900085,2025-02-07,SKU-1021,Led Desk Lamp,SUP-09,WH-SMG,1176.0,309.85,2025-02-28,2025-02-27,Delayed
PO-900246,2025-09-02,SKU-1029,Hydraulic Pump Seal,SUP-08,WH-SMG,118.0,36.34,2025-09-23,2025-10-01,Received
PO-900126,2025-05-24,SKU-1005,Polyethylene Pellets,SUP-01,WH-SBY,1925.0,182.84,2025-06-14,2025-06-18,Received
PO-900160,2025-09-30,SKU-1002,Pvc Resin,SUP-09,WH-MKS,1640.0,50.91,2025-10-30,2025-10-30,Received
PO-900218,2025-09-13,SKU-1024,Electric Kettle 1.7L,SUP-01,WH-SBY,1929.0,42.33,2025-09-23,2025-10-02,Received
PO-900205,2025-01-22,SKU-1032,Motor Bracket Assembly,SUP-04,WH-MDN,860.0,216.37,2025-02-01,2025-02-06,Received
